« 
Dragino OTA bootloader EU868 v1.3

Dragino LHT65N Device
Image Version: v1.5
LoRaWan Stack: DR-LWS-007
Frequency Band: EU868
DevEui= A8 40 41 27 4A 59 D7 71
Enter Password to Active AT Commands


Use AT+DEBUG to see more debug info
***** UpLinkCounter= 0 *****
TX on freq 868.500 MHz at DR 5
txDone
» 123456
AT+PLDTA=3200
« Correct Password
Stop Tx events when read sensor data0001 2025/1/23 11:23:05 1 3055 sht_temp=20.89 sht_hum=48.8 ds_temp=327.67
0002 2025/1/23 11:28:05 1 3054 sht_temp=20.87 sht_hum=48.2 ds_temp=327.67
0003 2025/1/23 11:33:05 1 3056 sht_temp=20.83 sht_hum=47.7 ds_temp=327.67
0004 2025/1/23 11:38:05 1 3054 sht_temp=20.77 sht_hum=47.3 ds_temp=327.67
0005 2025/1/23 11:43:05 1 3054 sht_temp=20.72 sht_hum=47.1 ds_temp=327.67
0006 2025/1/23 11:48:05 1 3054 sht_temp=20.69 sht_hum=47.1 ds_temp=327.67
0007 2025/1/23 11:53:05 1 3054 sht_temp=20.65 sht_hum=47.1 ds_temp=327.67
0008 2025/1/23 11:58:05 1 3056 sht_temp=20.57 sht_hum=47.3 ds_temp=327.67
0009 2025/1/23 12:03:05 1 3055 sht_temp=20.56 sht_hum=47.0 ds_temp=327.67
0010 2025/1/23 12:08:05 1 3054 sht_temp=20.55 sht_hum=46.9 ds_temp=327.67
0011 2025/1/23 12:13:05 1 3054 sht_temp=20.53 sht_hum=47.1 ds_temp=327.67
0012 2025/1/23 12:18:05 1 3056 sht_temp=20.46 sht_hum=47.0 ds_temp=327.67
0013 2025/1/23 12:23:05 1 3054 sht_temp=20.48 sht_hum=47.4 ds_temp=327.67
0014 2025/1/23 12:28:05 1 3055 sht_temp=20.48 sht_hum=47.3 ds_temp=327.67
0015 2025/1/23 12:33:05 1 3055 sht_temp=20.45 sht_hum=47.4 ds_temp=327.67
0016 2025/1/23 12:38:05 1 3054 sht_temp=20.39 sht_hum=47.1 ds_temp=327.67
0017 2025/1/23 12:43:05 1 3054 sht_temp=20.38 sht_hum=47.2 ds_temp=327.67
0018 2025/1/23 12:48:05 1 3056 sht_temp=20.34 sht_hum=47.5 ds_temp=327.67
0019 2025/1/23 12:53:05 1 3055 sht_temp=20.31 sht_hum=48.1 ds_temp=327.67
0020 2025/1/23 12:58:05 1 3054 sht_temp=20.24 sht_hum=48.5 ds_temp=327.67
0021 2025/1/23 13:03:05 1 3054 sht_temp=20.20 sht_hum=48.9 ds_temp=327.67
0022 2025/1/23 13:08:05 1 3054 sht_temp=20.18 sht_hum=49.4 ds_temp=327.67
0023 2025/1/23 13:13:05 1 3054 sht_temp=20.15 sht_hum=49.6 ds_temp=327.67
0024 2025/1/23 13:18:05 1 3054 sht_temp=20.10 sht_hum=49.8 ds_temp=327.67
0025 2025/1/23 13:23:05 1 3054 sht_temp=20.10 sht_hum=50.0 ds_temp=327.67
0026 2025/1/23 13:28:05 1 3054 sht_temp=20.05 sht_hum=49.8 ds_temp=327.67
0027 2025/1/23 13:33:05 1 3055 sht_temp=20.02 sht_hum=49.7 ds_temp=327.67
0028 2025/1/23 13:38:05 1 3054 sht_temp=19.98 sht_hum=49.5 ds_temp=327.67
0029 2025/1/23 13:43:05 1 3053 sht_temp=19.95 sht_hum=49.5 ds_temp=327.67
0030 2025/1/23 13:48:05 1 3055 sht_temp=19.91 sht_hum=49.4 ds_temp=327.67
0031 2025/1/23 13:53:05 1 3056 sht_temp=19.90 sht_hum=49.1 ds_temp=327.67
0032 2025/1/23 13:58:05 1 3054 sht_temp=19.84 sht_hum=48.9 ds_temp=327.67
0033 2025/1/23 14:03:05 1 3054 sht_temp=19.81 sht_hum=49.0 ds_temp=327.67
0034 2025/1/23 14:08:05 1 3054 sht_temp=19.80 sht_hum=49.1 ds_temp=327.67
0035 2025/1/23 14:13:05 1 3053 sht_temp=19.77 sht_hum=49.0 ds_temp=327.67
0036 2025/1/23 14:18:05 1 3055 sht_temp=19.70 sht_hum=49.5 ds_temp=327.67
0037 2025/1/23 14:23:05 1 3054 sht_temp=19.65 sht_hum=49.7 ds_temp=327.67
0038 2025/1/23 14:28:05 1 3053 sht_temp=19.65 sht_hum=49.8 ds_temp=327.67
