"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-23 11:20:00" 20.89 48.8
A84041274A59D771 EMAP_322 "2025-01-23 11:25:00" 20.87 48.2
A84041274A59D771 EMAP_322 "2025-01-23 11:30:00" 20.83 47.7
A84041274A59D771 EMAP_322 "2025-01-23 11:35:00" 20.77 47.3
A84041274A59D771 EMAP_322 "2025-01-23 11:40:00" 20.72 47.1
A84041274A59D771 EMAP_322 "2025-01-23 11:45:00" 20.69 47.1
A84041274A59D771 EMAP_322 "2025-01-23 11:50:00" 20.65 47.1
A84041274A59D771 EMAP_322 "2025-01-23 11:55:00" 20.57 47.3
A84041274A59D771 EMAP_322 "2025-01-23 12:00:00" 20.56 47.0
A84041274A59D771 EMAP_322 "2025-01-23 12:05:00" 20.55 46.9
A84041274A59D771 EMAP_322 "2025-01-23 12:10:00" 20.53 47.1
A84041274A59D771 EMAP_322 "2025-01-23 12:15:00" 20.46 47.0
A84041274A59D771 EMAP_322 "2025-01-23 12:20:00" 20.48 47.4
A84041274A59D771 EMAP_322 "2025-01-23 12:25:00" 20.48 47.3
A84041274A59D771 EMAP_322 "2025-01-23 12:30:00" 20.45 47.4
A84041274A59D771 EMAP_322 "2025-01-23 12:35:00" 20.39 47.1
A84041274A59D771 EMAP_322 "2025-01-23 12:40:00" 20.38 47.2
A84041274A59D771 EMAP_322 "2025-01-23 12:45:00" 20.34 47.5
A84041274A59D771 EMAP_322 "2025-01-23 12:50:00" 20.31 48.1
A84041274A59D771 EMAP_322 "2025-01-23 12:55:00" 20.24 48.5
A84041274A59D771 EMAP_322 "2025-01-23 13:00:00" 20.20 48.9
A84041274A59D771 EMAP_322 "2025-01-23 13:05:00" 20.18 49.4
A84041274A59D771 EMAP_322 "2025-01-23 13:10:00" 20.15 49.6
A84041274A59D771 EMAP_322 "2025-01-23 13:15:00" 20.10 49.8
A84041274A59D771 EMAP_322 "2025-01-23 13:20:00" 20.10 50.0
A84041274A59D771 EMAP_322 "2025-01-23 13:25:00" 20.05 49.8
A84041274A59D771 EMAP_322 "2025-01-23 13:30:00" 20.02 49.7
A84041274A59D771 EMAP_322 "2025-01-23 13:35:00" 19.98 49.5
A84041274A59D771 EMAP_322 "2025-01-23 13:40:00" 19.95 49.5
A84041274A59D771 EMAP_322 "2025-01-23 13:45:00" 19.91 49.4
A84041274A59D771 EMAP_322 "2025-01-23 13:50:00" 19.90 49.1
A84041274A59D771 EMAP_322 "2025-01-23 13:55:00" 19.84 48.9
A84041274A59D771 EMAP_322 "2025-01-23 14:00:00" 19.81 49.0
A84041274A59D771 EMAP_322 "2025-01-23 14:05:00" 19.80 49.1
A84041274A59D771 EMAP_322 "2025-01-23 14:10:00" 19.77 49.0
A84041274A59D771 EMAP_322 "2025-01-23 14:15:00" 19.70 49.5
A84041274A59D771 EMAP_322 "2025-01-23 14:20:00" 19.65 49.7
A84041274A59D771 EMAP_322 "2025-01-23 14:25:00" 19.65 49.8
A84041274A59D771 EMAP_322 "2025-01-23 14:30:00" 19.66 50.0
A84041274A59D771 EMAP_322 "2025-01-23 14:35:00" 19.60 50.2
A84041274A59D771 EMAP_322 "2025-01-23 14:40:00" 19.62 50.2
A84041274A59D771 EMAP_322 "2025-01-23 14:45:00" 19.62 50.7
A84041274A59D771 EMAP_322 "2025-01-23 14:50:00" 19.60 50.8
A84041274A59D771 EMAP_322 "2025-01-23 14:55:00" 19.59 50.7
A84041274A59D771 EMAP_322 "2025-01-23 15:00:00" 19.60 50.7
A84041274A59D771 EMAP_322 "2025-01-23 15:05:00" 19.62 50.8
A84041274A59D771 EMAP_322 "2025-01-23 15:10:00" 19.63 50.8
A84041274A59D771 EMAP_322 "2025-01-23 15:15:00" 19.63 50.5
